uid,lat,lon,comment,approved,likes
1406247848123,34.05212607427219,118.23755621910097,here it is,1,0
1406247980000,34.10989471392186,118.2690614461899,this is doug's house,1,0
1406248470000,34.05273053406963,118.23412299156188,whoa,0,0
1406248639000,34.052232743961376,118.23884367942809,Hey there,0,0
1406248671000,34.051752729303075,118.23629021644592,No Comment,0,0
1406249203000,34.05196606948673,118.24090361595154,No Comment,0,0
1406249728000,34.05225052222986,118.24111819267273,better,1,0
1406250859000,34.05221496568917,118.2365047931671,null,0,0
1406250878000,34.05863267969268,118.23068976402283,this is the jail,1,0
1406325717000,34.05169939417326,-118.2405173778534,asd,0,0
1406325737000,34.05555721532982,-118.24002385139465,asdasd,1,0
1406333921000,34.05542388342625,-118.23644578456879,asdasd,0,0
1406328228000,34.05503277529928,-118.23564112186432,No Comment,0,0
1406335758637,34.05415277541587,-118.24251294136049,asd,0,0
1406335822205,34.05331721151623,-118.23920845985414,asd,0,0
1406335922777,34.05191273449116,-118.24113965034483,asd,1,0
1407280702000,33.78628116836613,118.19108963012695,yo,1,0
1407280710000,33.77900464848382,118.18405151367188,here,1,0
1407280783000,34.033314554166765,118.24516296386719,here pleeze,1,0
1407280820000,34.15499986715356,118.14474105834961,please,1,0
1407280849000,34.15727269301868,118.11264038085938,here too,1,0
1407280864000,34.15727269301868,118.11264038085938,nope,1,0
1407280871000,34.15727269301868,118.11264038085938,nope,1,0
1407281104125,34.15727269301868,-118.11264038085938,nope,1,0
1407281131883,34.15727269301868,-118.11264038085938,nope,1,0
1407281222071,34.15727269301868,-118.11264038085938,nope,1,0
1407281285733,34.16295449004889,-118.14285278320312,asdadsasd,1,0
1407281290619,34.16295449004889,-118.14285278320312,asdadsasd,1,0
1407285447052,34.02534773814796,-118.23898315429688,yo,1,0
